Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-11-23,16.7492,16.8688,16.6276,16.7492,1162174.0062394
2005-11-24,16.7492,16.8117,16.4517,16.4517,1958065.6491588
2005-11-25,16.5714,16.5714,16.0345,16.2122,7056933.7601456
2005-11-28,16.4517,16.5089,16.2122,16.3319,4394142.3964514
2005-11-29,16.3955,16.4517,16.3319,16.3955,3023141.6181296
2005-11-30,16.3319,16.8117,16.3319,16.6276,4062859.4755516
2005-12-01,16.6276,16.8117,16.6276,16.8117,2412304.2068546
2005-12-02,16.9877,17.1083,16.8688,17.1083,4583861.8237632
2005-12-05,17.1083,17.1655,16.5714,16.7492,5462716.9865173
2005-12-06,16.7492,16.7492,16.4517,16.6276,1139795.1806026
2005-12-07,16.6276,16.8688,16.6276,16.8117,762686.16725648
2005-12-08,16.6911,16.8117,16.5714,16.5714,1216453.9051579
2005-12-09,16.6276,16.6276,16.4517,16.5714,1646406.100345
2005-12-12,16.5089,16.6276,16.3955,16.4517,2584337.569759
2005-12-13,16.5089,16.6276,16.4517,16.5089,1207559.0496981
2005-12-14,16.5089,16.6911,16.4517,16.6276,3619847.8198381
2005-12-15,16.6276,16.8117,16.4517,16.4517,2213011.8112643
2005-12-16,16.5089,16.6276,16.3955,16.5089,3986123.5674234
2005-12-19,16.5089,16.7492,16.4517,16.6276,1563881.4242531
2005-12-20,16.6276,17.1083,16.5714,17.0449,4750455.9500266
2005-12-21,17.0449,17.5826,17.0449,17.5191,4877898.1576502
2005-12-22,17.5191,17.5191,17.2852,17.5191,1957346.7393088
2005-12-23,17.4048,17.6388,17.4048,17.5826,1254937.6345813
2005-12-27,17.5191,17.7024,17.462,17.7024,1345916.1171453
2005-12-28,17.5826,17.6388,17.462,17.462,941836.95820017
2005-12-29,17.4048,17.5191,17.3423,17.462,845124.83879582
2005-12-30,17.3423,17.4048,17.1655,17.2217,1048069.1200044
2006-01-02,17.0449,17.2852,16.926,17.2852,1283995.0445146
2006-01-03,17.2852,17.5826,17.1655,17.462,2361703.7591162
2006-01-04,17.6388,18.0561,17.5826,17.9998,6107692.6920641
2006-01-05,17.8801,17.9364,17.7586,17.9364,2104718.8480649
2006-01-06,17.9364,18.2955,17.7586,18.1757,2917881.9693433
2006-01-09,18.2329,18.6501,18.1123,18.1123,4355591.4070574
2006-01-10,17.9998,18.2329,17.9364,18.0561,2099206.8383409
2006-01-11,18.0561,18.593,18.0561,18.593,2834512.6844398
2006-01-12,18.4732,18.7063,18.4107,18.7063,1958185.8350079
2006-01-13,18.593,18.7063,18.4732,18.593,2367653.5099605
2006-01-16,18.4732,19.0038,18.4107,19.0038,1818906.9751764
2006-01-17,18.7698,19.0038,18.7063,18.9457,1559086.1191341
2006-01-18,18.593,18.7063,18.4732,18.593,1763966.6053988
2006-01-19,18.593,19.3067,18.593,19.1235,2639522.7217247
2006-01-20,18.7698,19.1235,18.7698,18.9457,1297536.35106
2006-01-23,18.7063,19.0663,18.5295,19.0038,1425415.1971815
2006-01-24,19.0038,19.0038,18.6501,18.6501,1338723.7107781
2006-01-25,19.0038,19.4826,18.826,19.4826,4593597.9801671
2006-01-26,19.5398,19.5398,19.1235,19.2423,1821562.0900825
2006-01-27,19.2423,19.7166,19.1861,19.6595,3959855.7923374
2006-01-30,19.4826,19.6032,19.3629,19.6032,1045554.038152
2006-01-31,19.6032,19.6032,18.7698,18.7698,1596048.2295499
2006-02-01,18.7063,19.3067,18.5295,19.3067,1092482.7530676
2006-02-02,19.3629,19.5398,19.1235,19.2423,1331421.0421639
2006-02-03,19.0663,19.5398,18.593,18.593,1864749.6069598
2006-02-06,18.7698,19.5398,18.7698,19.5398,1102733.8341647
2006-02-07,19.3067,19.4826,19.1235,19.4201,901039.92683625
2006-02-08,19.3067,19.5398,19.1861,19.4826,1114627.822741
2006-02-09,19.4826,19.7166,19.4201,19.5398,1403009.9086054
